source,engine,profile_id,profile_label_fr,profile_label_en,dimension_status,dimension_territory,dimension_atmp,rgdu_expression_used,smic_multiple,gross_monthly_eur,net_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio,rgdu_monthly_eur,rgdu_rate_gross,rgdu_rate_employer_cost,api_total_contributions_monthly_eur,api_employer_contributions_monthly_eur,api_employee_contributions_monthly_eur,missing_variables_gross,missing_variables_net,missing_variables_employer_cost,status,error
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.8,1458.42,1132.54,1523.43,325.88,65.01,390.89,0.2234,0.0446,0.2566,1.3451,580.6,0.3981,0.3811,390.89,65.01,325.88,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.81,1476.65,1146.97,1542.22,329.68,65.57,395.25,0.2233,0.0444,0.2563,1.3446,587.85,0.3981,0.3812,395.25,65.57,329.68,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.82,1494.88,1161.4,1561.01,333.48,66.13,399.61,0.2231,0.0442,0.256,1.3441,595.11,0.3981,0.3812,399.61,66.13,333.48,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.83,1513.11,1175.83,1579.8,337.28,66.69,403.97,0.2229,0.0441,0.2557,1.3436,602.37,0.3981,0.3813,403.97,66.69,337.28,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.84,1531.35,1190.27,1598.61,341.08,67.26,408.33,0.2227,0.0439,0.2554,1.3431,609.63,0.3981,0.3814,408.33,67.26,341.08,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.85,1549.58,1204.7,1617.4,344.88,67.82,412.7,0.2226,0.0438,0.2552,1.3426,616.89,0.3981,0.3814,412.7,67.82,344.88,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.86,1567.81,1219.13,1636.19,348.68,68.38,417.06,0.2224,0.0436,0.2549,1.3421,624.15,0.3981,0.3815,417.06,68.38,348.68,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.87,1586.04,1233.57,1654.99,352.47,68.95,421.42,0.2222,0.0435,0.2546,1.3416,631.4,0.3981,0.3815,421.42,68.95,352.47,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.88,1604.27,1248.0,1673.78,356.27,69.51,425.78,0.2221,0.0433,0.2544,1.3412,638.66,0.3981,0.3816,425.78,69.51,356.27,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.89,1622.5,1262.43,1692.57,360.07,70.07,430.14,0.2219,0.0432,0.2541,1.3407,645.92,0.3981,0.3816,430.14,70.07,360.07,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.9,1640.73,1276.86,1711.36,363.87,70.63,434.51,0.2218,0.043,0.2539,1.3403,653.17,0.3981,0.3817,434.51,70.63,363.87,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.91,1658.96,1291.29,1730.16,367.67,71.2,438.87,0.2216,0.0429,0.2537,1.3399,660.43,0.3981,0.3817,438.87,71.2,367.67,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.92,1677.19,1305.72,1748.95,371.47,71.76,443.23,0.2215,0.0428,0.2534,1.3395,667.69,0.3981,0.3818,443.23,71.76,371.47,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.93,1695.42,1320.15,1767.74,375.27,72.32,447.59,0.2213,0.0427,0.2532,1.339,674.95,0.3981,0.3818,447.59,72.32,375.27,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,0.94,1713.65,1334.58,1786.53,379.07,72.88,451.95,0.2212,0.0425,0.253,1.3386,682.2,0.3981,0.3819,451.95,72.88,379.07,8,27,37,ok,
