profile_id,smic_multiple,employer_cost_monthly_eur_may,employer_cost_monthly_eur_june,delta_cost_eur,delta_cost_pct
non_cadre__standard__standard,1.0,1899.29,1987.76,88.47000000000003,4.658056431613921
non_cadre__standard__standard,1.01,1936.13,2024.98,88.84999999999991,4.589051355022644
non_cadre__standard__standard,1.02,1972.58,2061.97,89.38999999999987,4.531628628496684
non_cadre__standard__standard,1.03,2008.99,2098.72,89.72999999999979,4.466423426696986
non_cadre__standard__standard,1.04,2045.18,2135.4,90.22000000000003,4.4113476564409995
non_cadre__standard__standard,1.05,2081.3,2171.82,90.51999999999998,4.349204823908133
non_cadre__standard__standard,1.06,2117.17,2207.95,90.77999999999975,4.287799279226502
non_cadre__standard__standard,1.07,2152.75,2244.17,91.42000000000007,4.246661247241903
non_cadre__standard__standard,1.08,2188.24,2280.08,91.84000000000015,4.196980221547918
non_cadre__standard__standard,1.09,2223.61,2315.86,92.25,4.14865916235311
non_cadre__standard__standard,1.1,2258.87,2351.3,92.43000000000029,4.091868943321232
non_cadre__standard__standard,1.11,2293.79,2386.79,93.0,4.0544252089336865
non_cadre__standard__standard,1.12,2328.57,2422.13,93.55999999999995,4.01791657540894
non_cadre__standard__standard,1.13,2363.4,2457.29,93.88999999999987,3.972666497418967
non_cadre__standard__standard,1.14,2397.85,2492.26,94.41000000000031,3.937277144108277
non_cadre__standard__standard,1.15,2432.34,2527.05,94.71000000000004,3.8937812970226213
non_cadre__standard__standard,1.16,2466.63,2561.84,95.21000000000004,3.8599222420873835
non_cadre__standard__standard,1.17,2500.75,2596.42,95.67000000000007,3.8256523043087105
non_cadre__standard__standard,1.18,2534.64,2630.78,96.14000000000033,3.7930435880440747
non_cadre__standard__standard,1.19,2568.54,2665.13,96.59000000000015,3.7605020751088225
non_cadre__standard__standard,1.2,2602.42,2699.23,96.80999999999995,3.7199990777814476
non_cadre__standard__standard,1.21,2635.85,2733.3,97.45000000000027,3.697099607337302
non_cadre__standard__standard,1.22,2669.48,2767.34,97.86000000000013,3.6658824939688675
non_cadre__standard__standard,1.23,2702.86,2801.11,98.25,3.6350384407627474
non_cadre__standard__standard,1.24,2735.97,2834.84,98.87000000000035,3.6137092146478342
non_cadre__standard__standard,1.25,2769.27,2868.52,99.25,3.5839770047702104
non_cadre__standard__standard,1.26,2802.06,2901.89,99.82999999999993,3.562735987095206
non_cadre__standard__standard,1.27,2835.02,2935.2,100.17999999999984,3.5336611381930227
non_cadre__standard__standard,1.28,2867.92,2968.43,100.50999999999976,3.50463053362715
non_cadre__standard__standard,1.29,2900.52,3001.58,101.05999999999995,3.4842028325955328
non_cadre__standard__standard,1.3,2933.04,3034.64,101.59999999999991,3.463982761912552
non_cadre__standard__standard,1.31,2965.71,3067.61,101.90000000000009,3.435939454633126
non_cadre__standard__standard,1.32,2998.06,3100.49,102.42999999999984,3.4165426976111166
non_cadre__standard__standard,1.33,3030.32,3133.26,102.94000000000005,3.3970009767945317
non_cadre__standard__standard,1.34,3062.48,3165.93,103.44999999999982,3.3779812439591383
non_cadre__standard__standard,1.35,3094.54,3198.48,103.94000000000005,3.358819081349734
non_cadre__standard__standard,1.36,3126.49,3230.91,104.42000000000007,3.339847560683069
non_cadre__standard__standard,1.37,3158.32,3263.21,104.88999999999987,3.321069429316848
non_cadre__standard__standard,1.38,3190.29,3295.65,105.36000000000013,3.302521087424658
non_cadre__standard__standard,1.39,3221.87,3327.69,105.82000000000016,3.284427987473119
non_cadre__standard__standard,1.4,3253.59,3359.85,106.25999999999976,3.2659308640609224
non_cadre__standard__standard,1.41,3285.17,3391.86,106.69000000000005,3.2476249326518887
non_cadre__standard__standard,1.42,3316.61,3423.73,107.11999999999989,3.229803926298235
non_cadre__standard__standard,1.43,3347.9,3455.71,107.80999999999995,3.2202276053645553
non_cadre__standard__standard,1.44,3379.31,3487.53,108.22000000000025,3.202428898207038
non_cadre__standard__standard,1.45,3410.57,3519.19,108.61999999999989,3.1848048859867966
non_cadre__standard__standard,1.46,3441.67,3550.68,109.00999999999976,3.167357707159599
non_cadre__standard__standard,1.47,3472.61,3582.28,109.67000000000007,3.158143298556419
non_cadre__standard__standard,1.48,3503.65,3613.69,110.03999999999996,3.140724672841179
non_cadre__standard__standard,1.49,3534.52,3645.21,110.69000000000005,3.1316840759141287
non_cadre__standard__standard,1.5,3565.51,3676.54,111.02999999999975,3.114000521664495
non_cadre__standard__standard,1.51,3596.3,3707.68,111.37999999999965,3.0970719906570543
non_cadre__standard__standard,1.52,3626.91,3738.92,112.01000000000022,3.0883038178504627
non_cadre__standard__standard,1.53,3657.62,3769.95,112.32999999999993,3.071122751953454
non_cadre__standard__standard,1.54,3688.13,3801.07,112.94000000000005,3.0622564822823506
non_cadre__standard__standard,1.55,3718.73,3831.99,113.25999999999976,3.045663438862186
non_cadre__standard__standard,1.56,3749.13,3862.99,113.85999999999967,3.0369712439952647
non_cadre__standard__standard,1.57,3779.33,3893.78,114.45000000000027,3.0283145425247406
non_cadre__standard__standard,1.58,3809.61,3924.65,115.03999999999996,3.0197316785707713
non_cadre__standard__standard,1.59,3839.98,3955.3,115.32000000000016,3.0031406413575112
non_cadre__standard__standard,1.6,3870.13,3986.03,115.90000000000009,2.9947314431298198
non_cadre__standard__standard,1.61,3900.35,4016.82,116.47000000000025,2.9861422692835324
non_cadre__standard__standard,1.62,3930.36,4047.4,117.03999999999996,2.977844268718386
non_cadre__standard__standard,1.63,3960.44,4077.73,117.28999999999996,2.9615396269101404
non_cadre__standard__standard,1.64,3990.29,4108.14,117.85000000000036,2.9534194256557886
non_cadre__standard__standard,1.65,4020.22,4138.61,118.38999999999987,2.9448637139261007
non_cadre__standard__standard,1.66,4049.91,4168.84,118.93000000000029,2.9366084678425026
non_cadre__standard__standard,1.67,4079.67,4199.14,119.47000000000025,2.928423132263155
non_cadre__standard__standard,1.68,4109.49,4229.49,120.0,2.920070373696006
non_cadre__standard__standard,1.69,4139.07,4259.6,120.53000000000065,2.912006803460697
non_cadre__standard__standard,1.7,4168.71,4289.76,121.05000000000018,2.9037759882553638
non_cadre__standard__standard,1.71,4198.41,4319.67,121.26000000000022,2.8882362608701917
non_cadre__standard__standard,1.72,4227.86,4349.63,121.77000000000044,2.8801805168572385
non_cadre__standard__standard,1.73,4257.37,4379.64,122.27000000000044,2.8719608584642735
non_cadre__standard__standard,1.74,4286.62,4409.39,122.77000000000044,2.8640280687348176
non_cadre__standard__standard,1.75,4315.93,4439.52,123.59000000000015,2.8635774908304845
non_cadre__standard__standard,1.76,4345.29,4469.06,123.77000000000044,2.8483714550697523
non_cadre__standard__standard,1.77,4374.38,4498.96,124.57999999999993,2.8479464518400306
non_cadre__standard__standard,1.78,4403.85,4528.59,124.73999999999978,2.832521543649302
non_cadre__standard__standard,1.79,4433.05,4558.26,125.21000000000004,2.824466225285075
non_cadre__standard__standard,1.8,4461.97,4587.98,126.00999999999931,2.8240889114001058
non_cadre__standard__standard,1.81,4490.93,4617.42,126.48999999999978,2.8165658338027932
non_cadre__standard__standard,1.82,4519.95,4646.89,126.94000000000051,2.8084381464396846
non_cadre__standard__standard,1.83,4549.01,4676.42,127.40999999999985,2.8008291914064785
non_cadre__standard__standard,1.84,4578.13,4705.98,127.84999999999945,2.79262493638231
non_cadre__standard__standard,1.85,4606.95,4735.25,128.30000000000018,2.784922779713263
non_cadre__standard__standard,1.86,4635.81,4764.56,128.75,2.777292425703383
non_cadre__standard__standard,1.87,4664.38,4793.9,129.51999999999953,2.776789198135648
non_cadre__standard__standard,1.88,4693.33,4823.29,129.96000000000004,2.769036057554019
non_cadre__standard__standard,1.89,4721.98,4852.37,130.39000000000033,2.761341640582983
non_cadre__standard__standard,1.9,4750.66,4881.49,130.82999999999993,2.7539331377113903
non_cadre__standard__standard,1.91,4779.39,4910.64,131.25,2.7461663517729247
non_cadre__standard__standard,1.92,4807.81,4939.83,132.01999999999953,2.745948779173876
non_cadre__standard__standard,1.93,4836.62,4969.06,132.4400000000005,2.738275903420168
non_cadre__standard__standard,1.94,4865.11,4997.96,132.85000000000036,2.7306679602311226
non_cadre__standard__standard,1.95,4893.64,5026.9,133.2599999999993,2.7231263435806334
non_cadre__standard__standard,1.96,4921.85,5055.86,134.0099999999993,2.7227566870180784
non_cadre__standard__standard,1.97,4950.45,5084.87,134.42000000000007,2.7153087093092565
non_cadre__standard__standard,1.98,4978.72,5113.54,134.8199999999997,2.7079249284956717
non_cadre__standard__standard,1.99,5007.03,5142.6,135.57000000000062,2.7075931240675737
non_cadre__standard__standard,2.0,5035.37,5171.33,135.96000000000004,2.700099496164136
non_cadre__standard__standard,2.01,5063.38,5200.09,136.71000000000004,2.699975115436725
non_cadre__standard__standard,2.02,5091.79,5228.88,137.09000000000015,2.6923734089583458
non_cadre__standard__standard,2.03,5119.86,5257.7,137.84000000000015,2.6922611165149077
non_cadre__standard__standard,2.04,5147.95,5286.16,138.21000000000004,2.684758010470188
non_cadre__standard__standard,2.05,5176.08,5314.66,138.57999999999993,2.6773156519991947
non_cadre__standard__standard,2.06,5204.23,5343.56,139.33000000000084,2.6772452408905996
non_cadre__standard__standard,2.07,5232.42,5372.11,139.6899999999996,2.669701591233112
non_cadre__standard__standard,2.08,5260.25,5400.68,140.4300000000003,2.6696449788508207
non_cadre__standard__standard,2.09,5288.5,5428.89,140.39000000000033,2.654627966342069
non_cadre__standard__standard,2.1,5316.38,5457.52,141.14000000000033,2.6548139899706253
non_cadre__standard__standard,2.11,5344.3,5485.77,141.47000000000025,2.6471193608143304
non_cadre__standard__standard,2.12,5372.23,5514.45,142.22000000000025,2.6473177805120085
non_cadre__standard__standard,2.13,5399.81,5542.75,142.9399999999996,2.6471301768025097
