smic_multiple,rgdu_monthly_eur_may,rgdu_monthly_eur_june,delta_rgdu_eur
1.0,725.75,700.13,-25.620000000000005
1.01,714.96,689.6,-25.360000000000014
1.02,704.56,679.29,-25.269999999999982
1.03,694.19,669.21,-24.980000000000018
1.04,684.06,659.21,-24.84999999999991
1.05,673.98,649.47,-24.50999999999999
1.06,664.17,640.02,-24.149999999999977
1.07,654.63,630.48,-24.149999999999977
1.08,645.2,621.25,-23.950000000000045
1.09,635.87,612.14,-23.730000000000018
1.1,626.67,603.38,-23.289999999999964
1.11,617.79,594.57,-23.219999999999914
1.12,609.07,585.92,-23.15000000000009
1.13,600.29,577.43,-22.860000000000014
1.14,591.89,569.13,-22.75999999999999
1.15,583.45,561.03,-22.420000000000073
1.16,575.2,552.91,-22.290000000000077
1.17,567.15,545.01,-22.139999999999986
1.18,559.31,537.33,-21.979999999999905
1.19,551.46,529.67,-21.790000000000077
1.2,543.63,522.24,-21.389999999999986
1.21,536.25,514.85,-21.399999999999977
1.22,528.67,507.48,-21.18999999999994
1.23,521.34,500.39,-20.950000000000045
1.24,514.28,493.35,-20.92999999999995
1.25,507.03,486.36,-20.66999999999996
1.26,500.29,479.66,-20.629999999999995
1.27,493.38,473.04,-20.339999999999975
1.28,486.53,466.49,-20.039999999999964
1.29,479.98,460.02,-19.960000000000036
1.3,473.51,453.63,-19.879999999999995
1.31,466.89,447.34,-19.55000000000001
1.32,460.58,441.14,-19.439999999999998
1.33,454.38,435.05,-19.329999999999984
1.34,448.26,429.06,-19.19999999999999
1.35,442.26,423.19,-19.069999999999993
1.36,436.36,417.44,-18.920000000000016
1.37,430.58,411.81,-18.769999999999982
1.38,424.66,406.05,-18.610000000000014
1.39,419.13,400.69,-18.439999999999998
1.4,413.46,395.21,-18.25
1.41,407.93,389.87,-18.060000000000002
1.42,402.54,384.68,-17.860000000000014
1.43,397.3,379.38,-17.920000000000016
1.44,391.94,374.24,-17.69999999999999
1.45,386.73,369.26,-17.470000000000027
1.46,381.68,364.45,-17.230000000000018
1.47,376.79,359.53,-17.260000000000048
1.48,371.8,354.79,-17.00999999999999
1.49,366.97,349.96,-17.010000000000048
1.5,362.05,345.31,-16.74000000000001
1.51,357.31,340.84,-16.470000000000027
1.52,352.75,336.29,-16.45999999999998
1.53,348.1,331.93,-16.170000000000016
1.54,343.63,327.49,-16.139999999999986
1.55,339.08,323.25,-15.829999999999984
1.56,334.73,318.92,-15.810000000000002
1.57,330.58,314.81,-15.769999999999982
1.58,326.35,310.62,-15.730000000000018
1.59,322.04,306.65,-15.390000000000043
1.6,317.94,302.61,-15.329999999999984
1.61,313.76,298.49,-15.269999999999982
1.62,309.8,294.59,-15.210000000000036
1.63,305.77,290.93,-14.839999999999975
1.64,301.97,287.21,-14.760000000000048
1.65,298.09,283.41,-14.67999999999995
1.66,294.45,279.86,-14.589999999999975
1.67,290.75,276.25,-14.5
1.68,286.97,272.57,-14.400000000000034
1.69,283.44,269.14,-14.300000000000011
1.7,279.85,265.66,-14.189999999999998
1.71,276.2,262.43,-13.769999999999982
